x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,center_x,center_y,time,sliding_window_x,sliding_window_y,real_world_x,real_world_y,real_world_sw_x,real_world_sw_y,latitude,longitude,speed,nr_people
864.4675,284.5529,887.94794,327.92624,0,0.7426085,3,person,147,876.2077,306.2396,10.0,874.7476,299.442,1089619.1181588178,6123210.77848981,1089618.6607,6123210.7232,9.788215077109006,48.098220315152325,0,31
641.14825,267.16037,665.5322,331.60553,0,0.880063,4,person,3,653.3402,299.383,0.0,653.3402,299.383,1089619.5759333672,6123200.702006918,1089619.5759,6123200.702,9.788219189367753,48.098159861765524,0.2831239607816189,24
642.791,268.54892,667.33673,330.54205,0,0.88504565,4,person,4,655.0639,299.5455,0.5,654.202,299.4642,1089619.4403747062,6123200.768202467,1089619.5082,6123200.7351,9.788217971623581,48.098160258902844,1.939993753083682,29
660.2545,272.26538,690.4311,336.25043,0,0.8434693,4,person,12,675.3428,304.2579,1.0,665.0788,301.2912,1089620.1631030205,6123201.758930848,1089619.7016,6123201.2512,9.788224464002491,48.09816620273444,1.3334214206101285,33
678.3615,275.72437,700.6709,340.23798,0,0.86298424,4,person,19,689.5162,307.9812,1.5,679.7657,306.3925,1089620.659743192,6123202.440081764,1089620.504,6123201.9838,9.788228925397059,48.09817028926916,1.7241015784534648,34
699.20325,280.78403,720.17175,345.12164,0,0.84942967,4,person,27,709.6875,312.9528,2.0,698.9484,311.3148,1089621.258765915,6123203.387528158,1089620.9478,6123202.8836,9.788234306509734,48.09817597343127,1.550166169059976,33
713.7352,285.33737,737.5391,350.12115,0,0.8748002,4,person,34,725.6372,317.7293,2.5,719.4431,316.8493,1089621.862351699,6123204.1335194865,1089621.7052,6123203.8504,9.788239728613085,48.09818044897231,1.8709274592965994,35
733.3376,291.83978,756.8627,356.29233,0,0.8603029,4,person,42,745.1002,324.0661,3.0,737.8388,320.761,1089622.5940252421,6123205.0279514985,1089622.2175,6123204.6887,9.788246301348353,48.098185815075965,1.366273638892003,36
745.7793,295.54166,782.9459,359.63873,0,0.882361,4,person,49,764.3626,327.5902,3.5,757.5544,325.4112,1089622.9830284277,6123205.883743924,1089622.8272,6123205.5795,9.788249795823425,48.09819094936268,1.7790926032502086,36
770.81573,300.32214,802.1194,365.04022,0,0.84887385,4,person,57,786.4676,332.6812,4.0,776.9359,328.7112,1089623.6034136533,6123206.858147705,1089623.2484,6123206.4373,9.788255368838726,48.09819679525206,1.0814035733946505,35
793.2512,302.97766,817.8074,365.48108,0,0.77656746,4,person,64,805.5293,334.2294,4.5,797.7891,333.1032,1089623.649451631,6123207.6766913785,1089623.6264,6123207.345,9.788255782404917,48.098201706065595,0,33
656.15216,268.3395,676.1935,328.21997,0,0.84456855,5,person,3,666.1728,298.2797,0.0,666.1728,298.2797,1089619.1434515405,6123201.251544862,1089619.1435,6123201.2515,9.7882153043174,48.09816315869449,0.18596193356755197,24
659.049,269.5078,678.7596,327.847,0,0.715954,5,person,4,668.9043,298.6774,0.5,667.5386,298.4786,1089619.0956716773,6123201.373009991,1089619.1196,6123201.3123,9.788214875103586,48.09816388741921,1.3834572014300486,29
677.9654,273.55923,697.8133,330.6458,0,0.82466114,5,person,12,687.8894,302.1025,1.0,677.7535,300.9276,1089619.454804112,6123202.273327435,1089619.2753,6123201.8008,9.788218101245137,48.098169288833994,2.147729561036584,33
695.202,277.20886,716.6115,337.8544,0,0.8333272,5,person,19,705.9068,307.5316,1.5,697.9471,303.8974,1089620.3630262667,6123203.157727649,1089619.5418,6123202.743,9.788226259943569,48.098174594753495,1.3383748362695878,34
714.29266,281.45236,732.6037,341.11353,0,0.8189556,5,person,27,723.4482,311.2829,2.0,715.0455,309.768,1089620.7662609587,6123203.972064157,1089620.5081,6123203.5759,9.788229882262437,48.09817948032844,1.2020694024329033,33
731.59,286.3929,754.465,339.57965,0,0.8283336,5,person,34,743.0275,312.9863,2.5,736.0173,312.7698,1089620.575946865,6123204.838845653,1089620.7987,6123204.5327,9.788228172641844,48.09818468054421,3.109215043437768,35
749.693,291.67065,770.5651,351.66235,0,0.8241969,5,person,42,760.129,321.6665,3.0,752.191,317.9874,1089622.0423912136,6123205.662369625,1089621.5425,6123205.2885,9.788241345935562,48.09818962123796,1.2535231845770538,36
763.68677,296.09964,791.3026,354.78415,0,0.8476047,5,person,49,777.4947,325.4419,3.5,768.207,322.9716,1089622.4105860638,6123206.435563728,1089622.1275,6123206.0259,9.788244653486176,48.09819425997957,1.8115974442824627,36
781.41595,300.9816,811.41833,360.98166,0,0.75381154,5,person,57,796.4171,330.9816,4.0,786.7641,329.2064,1089623.132830967,6123207.275306225,1089623.043,6123206.8551,9.788251141522531,48.09819929797466,1.64048758323608,35
799.72876,303.85315,826.1894,366.8667,0,0.75427383,5,person,64,812.9591,335.3599,4.5,801.9362,332.0506,1089623.805993656,6123207.996676675,1089623.2893,6123207.5183,9.788257188645854,48.09820362580191,1.8911362805324625,33
816.8912,306.81915,840.3379,374.36136,0,0.8414016,5,person,72,828.6146,340.5903,5.0,820.6952,338.8784,1089624.6472487294,6123208.668316324,1089624.4773,6123208.333,9.788264745768757,48.09820765527129,2.2412360573896937,35
837.3989,311.27167,863.33405,383.07336,0,0.8230401,5,person,79,850.3665,347.1725,5.5,835.638,343.1928,1089625.600540418,6123209.578155257,1089624.8456,6123208.9646,9.788273309333697,48.09821311380516,1.687997246111858,34
868.74146,317.46124,893.51935,384.06683,0,0.6368,5,person,89,881.1304,350.764,6.0,860.6024,349.0872,1089625.6974796155,6123210.852066168,1089625.5971,6123210.0041,9.788274180153325,48.09822075656996,0.9373319051133551,33
881.2634,321.98407,905.0506,387.29712,0,0.65850645,5,person,94,893.157,354.6406,6.5,883.4702,351.3072,1089626.0415564326,6123211.339122283,1089625.7637,6123210.9489,9.788277271047962,48.09822367863847,2.765379224749342,34
910.9318,325.6478,936.8537,398.16922,0,0.85668,5,person,105,923.8928,361.9085,7.0,898.6094,355.8387,1089627.1788266664,6123212.549773024,1089626.2187,6123211.5537,9.788287487320295,48.09823094187559,0.7153086140276782,34
913.509,330.07452,954.1794,400.63345,0,0.8388272,5,person,110,933.8442,365.354,7.5,916.429,358.731,1089627.4301542805,6123212.938778777,1089626.6923,6123212.268,9.788289745034664,48.09823327569546,1.3459417721165061,33
939.9511,333.6031,978.4706,401.71808,0,0.882608,5,person,117,959.2108,367.6606,8.0,948.7224,365.1938,1089627.5304649184,6123213.949949472,1089627.3843,6123213.5428,9.788290646140457,48.0982393421612,1.3200304944892505,30
967.1803,335.6041,995.0277,405.27466,0,0.8334236,5,person,124,981.104,370.4394,8.5,965.9657,370.3986,1089627.884605614,6123214.798321896,1089627.9215,6123214.1898,9.788293827440452,48.09824443192666,1.7995782410837573,32
