x,y,real_world_x,real_world_y
96,1071,1089651.6454466907,6123185.962301674
48,255,1089591.0285708532,6123158.471810343
883,121,1089568.7937778658,6123191.13040732
1917,362,1089606.979362847,6123230.938728838
1916,1071,1089649.997152975,6123221.485414793
